condition,trial,timestamp,usage_delta_usec,wall_delta_usec,reserved_cpus,delivery_ratio,nr_throttled,throttled_usec,bogo_ops,bogo_ops_per_sec
A,1,2026-08-16T15:18:00-04:00,719086700,60015738,12,0.9985,217,147377,2137560,32885.257110
B,1,2026-08-16T15:19:16-04:00,659533911,60050646,12,0.9152,0,0,1531906,23567.248849
C,1,2026-08-16T15:20:33-04:00,325938792,60029068,12,0.4525,0,0,751426,11559.776278
A,2,2026-08-16T15:21:44-04:00,718917526,60014136,12,0.9983,227,254601,2140660,32932.975273
B,2,2026-08-16T15:23:00-04:00,650364025,60048764,12,0.9025,0,0,1508967,23214.482961
C,2,2026-08-16T15:24:18-04:00,324502590,60047023,12,0.4503,0,0,749544,11531.196190
A,3,2026-08-16T15:25:29-04:00,719182989,60014966,12,0.9986,262,204657,2163168,33279.122235
B,3,2026-08-16T15:26:45-04:00,595730331,60035060,12,0.8269,0,0,1428788,21981.122200
C,3,2026-08-16T15:28:02-04:00,324590113,60061320,12,0.4504,0,0,742754,11426.488558
A,4,2026-08-16T15:29:13-04:00,718982488,60013443,12,0.9984,248,306687,2155815,33166.019273
B,4,2026-08-16T15:30:29-04:00,642138651,60060820,12,0.8910,0,0,1496901,23028.966608
C,4,2026-08-16T15:31:46-04:00,350002593,60088498,12,0.4854,0,0,806683,12410.043379
A,5,2026-08-16T15:32:57-04:00,719300233,60013730,12,0.9988,266,90153,2171774,33411.591026
B,5,2026-08-16T15:34:14-04:00,642156379,60017019,12,0.8916,0,0,1511614,23255.234683
C,5,2026-08-16T15:35:31-04:00,373750077,60100210,12,0.5182,0,0,863068,13277.633791
A,6,2026-08-16T15:36:42-04:00,719059394,60016072,12,0.9984,248,380183,2150400,33082.886802
B,6,2026-08-16T15:37:58-04:00,644429743,60027488,12,0.8946,0,0,1504574,23146.960601
C,6,2026-08-16T15:39:15-04:00,360787337,60040433,12,0.5008,0,0,808628,12440.153630
A,7,2026-08-16T15:40:27-04:00,711677793,60013938,12,0.9882,224,283647,2084022,33456.303472
B,7,2026-08-16T15:41:43-04:00,612086823,60032936,12,0.8497,0,0,1461174,22479.012010
C,7,2026-08-16T15:43:00-04:00,363740531,60036452,12,0.5049,0,0,824710,12687.301267
A,8,2026-08-16T15:44:11-04:00,719288913,60016462,12,0.9987,287,70894,2167395,33344.172543
B,8,2026-08-16T15:45:27-04:00,642368918,60014859,12,0.8920,0,0,1510507,23241.282918
C,8,2026-08-16T15:46:44-04:00,358247904,60077335,12,0.4969,0,0,820298,12619.540583
A,9,2026-08-16T15:47:56-04:00,719023354,60014034,12,0.9984,255,341986,2157019,33184.562047
B,9,2026-08-16T15:49:12-04:00,637631331,60033784,12,0.8851,0,0,1491434,22944.906800
C,9,2026-08-16T15:50:29-04:00,356628444,60028776,12,0.4951,0,0,815765,12549.947590
A,10,2026-08-16T15:51:40-04:00,719009685,60015184,12,0.9984,242,395288,2154601,33147.317591
B,10,2026-08-16T15:52:56-04:00,619284271,60024372,12,0.8598,0,0,1469411,22605.949579
C,10,2026-08-16T15:54:13-04:00,353782509,60041125,12,0.4910,0,0,815266,12714.144209
